product_slug,product_standard_scope,source_id,source_page,source_title,declared_products,route_kind,route_basis,route_status,value_record_count,declared_metal_species,metal_species,missing_metal_species,product_page_cites_source,evidence_use,action_needed,route_note
infant-formula-powder,base_context,astolfi2021-italy-powdered-infant-formula-elements,wiki/sources/astolfi2021-italy-powdered-infant-formula-elements.md,Determination of 40 Elements in Powdered Infant Formulas and Related Risk Assessment,infant-formula-powder,direct_product_frontmatter,"frontmatter:infant-formula-powder;source_link:infant-formula-powder",source_on_page_no_structured_value,0,"Al;tAs;Cd;Cr;Mn;Ni;Pb;Sn;Zn",,"Al;tAs;Cd;Cr;Mn;Ni;Pb;Sn;Zn",true,direct_context_pending_extraction,"Extract product-row values if the source table is usable; otherwise document why it remains context only.",Source declares or links this exact locked/context product row.
infant-formula-powder-non-soy,locked_hmtc_row,astolfi2021-italy-powdered-infant-formula-elements,wiki/sources/astolfi2021-italy-powdered-infant-formula-elements.md,Determination of 40 Elements in Powdered Infant Formulas and Related Risk Assessment,infant-formula-powder,broad_powder_context,"frontmatter:infant-formula-powder;source_link:infant-formula-powder",source_on_page_no_structured_value,0,"Al;tAs;Cd;Cr;Mn;Ni;Pb;Sn;Zn",,"Al;tAs;Cd;Cr;Mn;Ni;Pb;Sn;Zn",true,broad_context_pending_row_fit,"Keep visible as broad context; extract only if product row fit, basis, species, and statistic type can be resolved.",Source is declared for powdered formula but does not itself resolve the locked soy/non-soy row split.
infant-formula-powder-soy-based,locked_hmtc_row,astolfi2021-italy-powdered-infant-formula-elements,wiki/sources/astolfi2021-italy-powdered-infant-formula-elements.md,Determination of 40 Elements in Powdered Infant Formulas and Related Risk Assessment,infant-formula-powder,broad_powder_context,"frontmatter:infant-formula-powder;source_link:infant-formula-powder",source_on_page_no_structured_value,0,"Al;tAs;Cd;Cr;Mn;Ni;Pb;Sn;Zn",,"Al;tAs;Cd;Cr;Mn;Ni;Pb;Sn;Zn",true,broad_context_pending_row_fit,"Keep visible as broad context; extract only if product row fit, basis, species, and statistic type can be resolved.",Source is declared for powdered formula but does not itself resolve the locked soy/non-soy row split.
infant-formula-powder-non-soy,locked_hmtc_row,burrell2010-aluminium-in-infant-formulas,wiki/sources/burrell2010-aluminium-in-infant-formulas.md,There is (still) too much aluminium in infant formulas,"infant-formula-powder-non-soy;infant-formula-powder-soy-based;infant-formula-rtf-liquid-non-soy",direct_product_frontmatter,"frontmatter:infant-formula-powder-non-soy;source_link:infant-formula-powder-non-soy",structured_values_present,2,Al,Al,,true,structured_value_candidate,"Review row fit, basis, censoring, and inclusion before standards calculation use.",Source declares or links this exact locked/context product row.
infant-formula-powder-soy-based,locked_hmtc_row,burrell2010-aluminium-in-infant-formulas,wiki/sources/burrell2010-aluminium-in-infant-formulas.md,There is (still) too much aluminium in infant formulas,"infant-formula-powder-non-soy;infant-formula-powder-soy-based;infant-formula-rtf-liquid-non-soy",direct_product_frontmatter,"frontmatter:infant-formula-powder-soy-based;source_link:infant-formula-powder-soy-based",structured_values_present,2,Al,Al,,true,structured_value_candidate,"Review row fit, basis, censoring, and inclusion before standards calculation use.",Source declares or links this exact locked/context product row.
infant-formula-rtf-liquid-non-soy,locked_hmtc_row,burrell2010-aluminium-in-infant-formulas,wiki/sources/burrell2010-aluminium-in-infant-formulas.md,There is (still) too much aluminium in infant formulas,"infant-formula-powder-non-soy;infant-formula-powder-soy-based;infant-formula-rtf-liquid-non-soy",direct_product_frontmatter,"frontmatter:infant-formula-rtf-liquid-non-soy;source_link:infant-formula-rtf-liquid-non-soy",structured_values_present,2,Al,Al,,true,structured_value_candidate,"Review row fit, basis, censoring, and inclusion before standards calculation use.",Source declares or links this exact locked/context product row.
baby-cereals-dry-non-rice,locked_hmtc_row,chekri2019-french-infant-toddler-tds-trace-elements,wiki/sources/chekri2019-french-infant-toddler-tds-trace-elements.md,Trace element contents in foods from the first French Total Diet Study on infants and toddlers,"infant-formula;baby-cereals;fruit-purees;fruit-juice-not-canned;vegetable-purees;meat-and-fish-baby-foods;mixed-meals",broad_product_context,frontmatter:baby-cereals,source_on_page_no_structured_value,0,"Al;Sb;tAs;Cd;Cr;Co;Ni;Sn;V",,"Al;Sb;tAs;Cd;Cr;Co;Ni;Sn;V",true,broad_context_pending_row_fit,"Keep visible as broad context; extract only if product row fit, basis, species, and statistic type can be resolved.",Source is declared for baby cereals broadly and must stay contextual until rice/non-rice and dry/as-served row fit are resolved.
baby-cereals-dry-rice-based,locked_hmtc_row,chekri2019-french-infant-toddler-tds-trace-elements,wiki/sources/chekri2019-french-infant-toddler-tds-trace-elements.md,Trace element contents in foods from the first French Total Diet Study on infants and toddlers,"infant-formula;baby-cereals;fruit-purees;fruit-juice-not-canned;vegetable-purees;meat-and-fish-baby-foods;mixed-meals",broad_product_context,frontmatter:baby-cereals,source_on_page_no_structured_value,0,"Al;Sb;tAs;Cd;Cr;Co;Ni;Sn;V",,"Al;Sb;tAs;Cd;Cr;Co;Ni;Sn;V",true,broad_context_pending_row_fit,"Keep visible as broad context; extract only if product row fit, basis, species, and statistic type can be resolved.",Source is declared for baby cereals broadly and must stay contextual until rice/non-rice and dry/as-served row fit are resolved.
fish-containing-baby-foods,locked_hmtc_row,chekri2019-french-infant-toddler-tds-trace-elements,wiki/sources/chekri2019-french-infant-toddler-tds-trace-elements.md,Trace element contents in foods from the first French Total Diet Study on infants and toddlers,"infant-formula;baby-cereals;fruit-purees;fruit-juice-not-canned;vegetable-purees;meat-and-fish-baby-foods;mixed-meals",broad_product_context,frontmatter:meat-and-fish-baby-foods,source_on_page_no_structured_value,0,"Al;Sb;tAs;Cd;Cr;Co;Ni;Sn;V",,"Al;Sb;tAs;Cd;Cr;Co;Ni;Sn;V",true,broad_context_pending_row_fit,"Keep visible as broad context; extract only if product row fit, basis, species, and statistic type can be resolved.","Source combines meat and fish baby foods; keep contextual until meat/poultry versus fish-containing row fit is resolved."
fruit-juice-not-canned,locked_hmtc_row,chekri2019-french-infant-toddler-tds-trace-elements,wiki/sources/chekri2019-french-infant-toddler-tds-trace-elements.md,Trace element contents in foods from the first French Total Diet Study on infants and toddlers,"infant-formula;baby-cereals;fruit-purees;fruit-juice-not-canned;vegetable-purees;meat-and-fish-baby-foods;mixed-meals",direct_product_frontmatter,frontmatter:fruit-juice-not-canned,structured_values_present,18,"Al;Sb;tAs;Cd;Cr;Co;Ni;Sn;V","Al;Cd;Co;Cr-total;Ni;Sb;Sn;V;tAs",,true,structured_value_candidate,"Review row fit, basis, censoring, and inclusion before standards calculation use.",Source declares or links this exact locked/context product row.
fruit-purees,locked_hmtc_row,chekri2019-french-infant-toddler-tds-trace-elements,wiki/sources/chekri2019-french-infant-toddler-tds-trace-elements.md,Trace element contents in foods from the first French Total Diet Study on infants and toddlers,"infant-formula;baby-cereals;fruit-purees;fruit-juice-not-canned;vegetable-purees;meat-and-fish-baby-foods;mixed-meals",direct_product_frontmatter,frontmatter:fruit-purees,structured_values_present,18,"Al;Sb;tAs;Cd;Cr;Co;Ni;Sn;V","Al;Cd;Co;Cr-total;Ni;Sb;Sn;V;tAs",,true,structured_value_candidate,"Review row fit, basis, censoring, and inclusion before standards calculation use.",Source declares or links this exact locked/context product row.
infant-formula-powder-non-soy,locked_hmtc_row,chekri2019-french-infant-toddler-tds-trace-elements,wiki/sources/chekri2019-french-infant-toddler-tds-trace-elements.md,Trace element contents in foods from the first French Total Diet Study on infants and toddlers,"infant-formula;baby-cereals;fruit-purees;fruit-juice-not-canned;vegetable-purees;meat-and-fish-baby-foods;mixed-meals",broad_formula_context,frontmatter:infant-formula,source_on_page_no_structured_value,0,"Al;Sb;tAs;Cd;Cr;Co;Ni;Sn;V",,"Al;Sb;tAs;Cd;Cr;Co;Ni;Sn;V",true,broad_context_pending_row_fit,"Keep visible as broad context; extract only if product row fit, basis, species, and statistic type can be resolved.",Source is declared for infant formula broadly and must stay contextual until powder/liquid and soy/non-soy fit are resolved.
infant-formula-powder-soy-based,locked_hmtc_row,chekri2019-french-infant-toddler-tds-trace-elements,wiki/sources/chekri2019-french-infant-toddler-tds-trace-elements.md,Trace element contents in foods from the first French Total Diet Study on infants and toddlers,"infant-formula;baby-cereals;fruit-purees;fruit-juice-not-canned;vegetable-purees;meat-and-fish-baby-foods;mixed-meals",broad_formula_context,frontmatter:infant-formula,source_on_page_no_structured_value,0,"Al;Sb;tAs;Cd;Cr;Co;Ni;Sn;V",,"Al;Sb;tAs;Cd;Cr;Co;Ni;Sn;V",true,broad_context_pending_row_fit,"Keep visible as broad context; extract only if product row fit, basis, species, and statistic type can be resolved.",Source is declared for infant formula broadly and must stay contextual until powder/liquid and soy/non-soy fit are resolved.
infant-formula-rtf-liquid-non-soy,locked_hmtc_row,chekri2019-french-infant-toddler-tds-trace-elements,wiki/sources/chekri2019-french-infant-toddler-tds-trace-elements.md,Trace element contents in foods from the first French Total Diet Study on infants and toddlers,"infant-formula;baby-cereals;fruit-purees;fruit-juice-not-canned;vegetable-purees;meat-and-fish-baby-foods;mixed-meals",broad_formula_context,frontmatter:infant-formula,source_on_page_no_structured_value,0,"Al;Sb;tAs;Cd;Cr;Co;Ni;Sn;V",,"Al;Sb;tAs;Cd;Cr;Co;Ni;Sn;V",true,broad_context_pending_row_fit,"Keep visible as broad context; extract only if product row fit, basis, species, and statistic type can be resolved.",Source is declared for infant formula broadly and must stay contextual until powder/liquid and soy/non-soy fit are resolved.
infant-formula-rtf-liquid-soy-based,locked_hmtc_row,chekri2019-french-infant-toddler-tds-trace-elements,wiki/sources/chekri2019-french-infant-toddler-tds-trace-elements.md,Trace element contents in foods from the first French Total Diet Study on infants and toddlers,"infant-formula;baby-cereals;fruit-purees;fruit-juice-not-canned;vegetable-purees;meat-and-fish-baby-foods;mixed-meals",broad_formula_context,frontmatter:infant-formula,source_on_page_no_structured_value,0,"Al;Sb;tAs;Cd;Cr;Co;Ni;Sn;V",,"Al;Sb;tAs;Cd;Cr;Co;Ni;Sn;V",true,broad_context_pending_row_fit,"Keep visible as broad context; extract only if product row fit, basis, species, and statistic type can be resolved.",Source is declared for infant formula broadly and must stay contextual until powder/liquid and soy/non-soy fit are resolved.
meat-and-poultry-purees,locked_hmtc_row,chekri2019-french-infant-toddler-tds-trace-elements,wiki/sources/chekri2019-french-infant-toddler-tds-trace-elements.md,Trace element contents in foods from the first French Total Diet Study on infants and toddlers,"infant-formula;baby-cereals;fruit-purees;fruit-juice-not-canned;vegetable-purees;meat-and-fish-baby-foods;mixed-meals",broad_product_context,frontmatter:meat-and-fish-baby-foods,source_on_page_no_structured_value,0,"Al;Sb;tAs;Cd;Cr;Co;Ni;Sn;V",,"Al;Sb;tAs;Cd;Cr;Co;Ni;Sn;V",true,broad_context_pending_row_fit,"Keep visible as broad context; extract only if product row fit, basis, species, and statistic type can be resolved.","Source combines meat and fish baby foods; keep contextual until meat/poultry versus fish-containing row fit is resolved."
mixed-meals-non-rice,locked_hmtc_row,chekri2019-french-infant-toddler-tds-trace-elements,wiki/sources/chekri2019-french-infant-toddler-tds-trace-elements.md,Trace element contents in foods from the first French Total Diet Study on infants and toddlers,"infant-formula;baby-cereals;fruit-purees;fruit-juice-not-canned;vegetable-purees;meat-and-fish-baby-foods;mixed-meals",broad_product_context,frontmatter:mixed-meals,source_on_page_no_structured_value,0,"Al;Sb;tAs;Cd;Cr;Co;Ni;Sn;V",,"Al;Sb;tAs;Cd;Cr;Co;Ni;Sn;V",true,broad_context_pending_row_fit,"Keep visible as broad context; extract only if product row fit, basis, species, and statistic type can be resolved.",Source is declared for mixed meals broadly and must stay contextual until rice-containing row fit is resolved.
mixed-meals-rice-containing,locked_hmtc_row,chekri2019-french-infant-toddler-tds-trace-elements,wiki/sources/chekri2019-french-infant-toddler-tds-trace-elements.md,Trace element contents in foods from the first French Total Diet Study on infants and toddlers,"infant-formula;baby-cereals;fruit-purees;fruit-juice-not-canned;vegetable-purees;meat-and-fish-baby-foods;mixed-meals",broad_product_context,frontmatter:mixed-meals,source_on_page_no_structured_value,0,"Al;Sb;tAs;Cd;Cr;Co;Ni;Sn;V",,"Al;Sb;tAs;Cd;Cr;Co;Ni;Sn;V",true,broad_context_pending_row_fit,"Keep visible as broad context; extract only if product row fit, basis, species, and statistic type can be resolved.",Source is declared for mixed meals broadly and must stay contextual until rice-containing row fit is resolved.
non-root-vegetable-purees,locked_hmtc_row,chekri2019-french-infant-toddler-tds-trace-elements,wiki/sources/chekri2019-french-infant-toddler-tds-trace-elements.md,Trace element contents in foods from the first French Total Diet Study on infants and toddlers,"infant-formula;baby-cereals;fruit-purees;fruit-juice-not-canned;vegetable-purees;meat-and-fish-baby-foods;mixed-meals",broad_product_context,frontmatter:vegetable-purees,source_on_page_no_structured_value,0,"Al;Sb;tAs;Cd;Cr;Co;Ni;Sn;V",,"Al;Sb;tAs;Cd;Cr;Co;Ni;Sn;V",true,broad_context_pending_row_fit,"Keep visible as broad context; extract only if product row fit, basis, species, and statistic type can be resolved.",Source is declared for vegetable purees broadly and must stay contextual until root/non-root row fit is resolved.
root-vegetable-purees,locked_hmtc_row,chekri2019-french-infant-toddler-tds-trace-elements,wiki/sources/chekri2019-french-infant-toddler-tds-trace-elements.md,Trace element contents in foods from the first French Total Diet Study on infants and toddlers,"infant-formula;baby-cereals;fruit-purees;fruit-juice-not-canned;vegetable-purees;meat-and-fish-baby-foods;mixed-meals",broad_product_context,frontmatter:vegetable-purees,source_on_page_no_structured_value,0,"Al;Sb;tAs;Cd;Cr;Co;Ni;Sn;V",,"Al;Sb;tAs;Cd;Cr;Co;Ni;Sn;V",true,broad_context_pending_row_fit,"Keep visible as broad context; extract only if product row fit, basis, species, and statistic type can be resolved.",Source is declared for vegetable purees broadly and must stay contextual until root/non-root row fit is resolved.
infant-formula-powder-non-soy,locked_hmtc_row,chuchu2013-aluminium-in-infant-formulas,wiki/sources/chuchu2013-aluminium-in-infant-formulas.md,The aluminium content of infant formulas remains too high,"infant-formula-powder-non-soy;infant-formula-powder-soy-based;infant-formula-rtf-liquid-non-soy",direct_product_frontmatter,"frontmatter:infant-formula-powder-non-soy;source_link:infant-formula-powder-non-soy",structured_values_present,2,Al,Al,,true,structured_value_candidate,"Review row fit, basis, censoring, and inclusion before standards calculation use.",Source declares or links this exact locked/context product row.
infant-formula-powder-soy-based,locked_hmtc_row,chuchu2013-aluminium-in-infant-formulas,wiki/sources/chuchu2013-aluminium-in-infant-formulas.md,The aluminium content of infant formulas remains too high,"infant-formula-powder-non-soy;infant-formula-powder-soy-based;infant-formula-rtf-liquid-non-soy",direct_product_frontmatter,"frontmatter:infant-formula-powder-soy-based;source_link:infant-formula-powder-soy-based",structured_values_present,2,Al,Al,,true,structured_value_candidate,"Review row fit, basis, censoring, and inclusion before standards calculation use.",Source declares or links this exact locked/context product row.
infant-formula-rtf-liquid-non-soy,locked_hmtc_row,chuchu2013-aluminium-in-infant-formulas,wiki/sources/chuchu2013-aluminium-in-infant-formulas.md,The aluminium content of infant formulas remains too high,"infant-formula-powder-non-soy;infant-formula-powder-soy-based;infant-formula-rtf-liquid-non-soy",direct_product_frontmatter,"frontmatter:infant-formula-rtf-liquid-non-soy;source_link:infant-formula-rtf-liquid-non-soy",structured_values_present,2,Al,Al,,true,structured_value_candidate,"Review row fit, basis, censoring, and inclusion before standards calculation use.",Source declares or links this exact locked/context product row.
infant-formula-powder-non-soy,locked_hmtc_row,chung2021-china-infant-formula-toxic-elements,wiki/sources/chung2021-china-infant-formula-toxic-elements.md,Content and Dietary Exposure Assessment of Toxic Elements in Infant Formulas from the Chinese Market,infant-formula,broad_formula_context,frontmatter:infant-formula,source_on_page_no_structured_value,0,"Cr;tAs;Cd;Pb",,"Cr;tAs;Cd;Pb",true,broad_context_pending_row_fit,"Keep visible as broad context; extract only if product row fit, basis, species, and statistic type can be resolved.",Source is declared for infant formula broadly and must stay contextual until powder/liquid and soy/non-soy fit are resolved.
infant-formula-powder-soy-based,locked_hmtc_row,chung2021-china-infant-formula-toxic-elements,wiki/sources/chung2021-china-infant-formula-toxic-elements.md,Content and Dietary Exposure Assessment of Toxic Elements in Infant Formulas from the Chinese Market,infant-formula,broad_formula_context,frontmatter:infant-formula,source_on_page_no_structured_value,0,"Cr;tAs;Cd;Pb",,"Cr;tAs;Cd;Pb",true,broad_context_pending_row_fit,"Keep visible as broad context; extract only if product row fit, basis, species, and statistic type can be resolved.",Source is declared for infant formula broadly and must stay contextual until powder/liquid and soy/non-soy fit are resolved.
infant-formula-rtf-liquid-non-soy,locked_hmtc_row,chung2021-china-infant-formula-toxic-elements,wiki/sources/chung2021-china-infant-formula-toxic-elements.md,Content and Dietary Exposure Assessment of Toxic Elements in Infant Formulas from the Chinese Market,infant-formula,broad_formula_context,frontmatter:infant-formula,source_on_page_no_structured_value,0,"Cr;tAs;Cd;Pb",,"Cr;tAs;Cd;Pb",true,broad_context_pending_row_fit,"Keep visible as broad context; extract only if product row fit, basis, species, and statistic type can be resolved.",Source is declared for infant formula broadly and must stay contextual until powder/liquid and soy/non-soy fit are resolved.
infant-formula-rtf-liquid-soy-based,locked_hmtc_row,chung2021-china-infant-formula-toxic-elements,wiki/sources/chung2021-china-infant-formula-toxic-elements.md,Content and Dietary Exposure Assessment of Toxic Elements in Infant Formulas from the Chinese Market,infant-formula,broad_formula_context,frontmatter:infant-formula,source_on_page_no_structured_value,0,"Cr;tAs;Cd;Pb",,"Cr;tAs;Cd;Pb",true,broad_context_pending_row_fit,"Keep visible as broad context; extract only if product row fit, basis, species, and statistic type can be resolved.",Source is declared for infant formula broadly and must stay contextual until powder/liquid and soy/non-soy fit are resolved.
baby-cereals-dry-non-rice,locked_hmtc_row,collado-lopez2025-heavy-metals-baby-food-formula,wiki/sources/collado-lopez2025-heavy-metals-baby-food-formula.md,Concentrations of Heavy Metals in Processed Baby Foods and Infant Formulas Worldwide: A Scoping Review,"infant-formula;baby-cereals-dry-rice-based;baby-cereals-dry-non-rice;fruit-purees;non-root-vegetable-purees;root-vegetable-purees;meat-and-poultry-purees;fish-containing-baby-foods;mixed-meals-rice-containing;mixed-meals-non-rice;teething-and-snacks-rice-based;teething-and-snacks-non-rice",direct_product_frontmatter,"frontmatter:baby-cereals-dry-non-rice;source_link:baby-cereals-dry-non-rice",partial_structured_values_present,3,"Pb;Cd;tAs;tHg","Cd;Pb;tAs",tHg,true,partial_structured_value_candidate,"Extract missing product-row metals if the source table is usable; otherwise document why they remain context only. Missing declared metals: tHg.",Source declares or links this exact locked/context product row.
baby-cereals-dry-rice-based,locked_hmtc_row,collado-lopez2025-heavy-metals-baby-food-formula,wiki/sources/collado-lopez2025-heavy-metals-baby-food-formula.md,Concentrations of Heavy Metals in Processed Baby Foods and Infant Formulas Worldwide: A Scoping Review,"infant-formula;baby-cereals-dry-rice-based;baby-cereals-dry-non-rice;fruit-purees;non-root-vegetable-purees;root-vegetable-purees;meat-and-poultry-purees;fish-containing-baby-foods;mixed-meals-rice-containing;mixed-meals-non-rice;teething-and-snacks-rice-based;teething-and-snacks-non-rice",direct_product_frontmatter,"frontmatter:baby-cereals-dry-rice-based;source_link:baby-cereals-dry-rice-based",partial_structured_values_present,3,"Pb;Cd;tAs;tHg","Cd;Pb;tAs",tHg,true,partial_structured_value_candidate,"Extract missing product-row metals if the source table is usable; otherwise document why they remain context only. Missing declared metals: tHg.",Source declares or links this exact locked/context product row.
fish-containing-baby-foods,locked_hmtc_row,collado-lopez2025-heavy-metals-baby-food-formula,wiki/sources/collado-lopez2025-heavy-metals-baby-food-formula.md,Concentrations of Heavy Metals in Processed Baby Foods and Infant Formulas Worldwide: A Scoping Review,"infant-formula;baby-cereals-dry-rice-based;baby-cereals-dry-non-rice;fruit-purees;non-root-vegetable-purees;root-vegetable-purees;meat-and-poultry-purees;fish-containing-baby-foods;mixed-meals-rice-containing;mixed-meals-non-rice;teething-and-snacks-rice-based;teething-and-snacks-non-rice",direct_product_frontmatter,"frontmatter:fish-containing-baby-foods;source_link:fish-containing-baby-foods",partial_structured_values_present,3,"Pb;Cd;tAs;tHg","Pb;tAs;tHg",Cd,true,partial_structured_value_candidate,"Extract missing product-row metals if the source table is usable; otherwise document why they remain context only. Missing declared metals: Cd.",Source declares or links this exact locked/context product row.
fruit-purees,locked_hmtc_row,collado-lopez2025-heavy-metals-baby-food-formula,wiki/sources/collado-lopez2025-heavy-metals-baby-food-formula.md,Concentrations of Heavy Metals in Processed Baby Foods and Infant Formulas Worldwide: A Scoping Review,"infant-formula;baby-cereals-dry-rice-based;baby-cereals-dry-non-rice;fruit-purees;non-root-vegetable-purees;root-vegetable-purees;meat-and-poultry-purees;fish-containing-baby-foods;mixed-meals-rice-containing;mixed-meals-non-rice;teething-and-snacks-rice-based;teething-and-snacks-non-rice",direct_product_frontmatter,frontmatter:fruit-purees,source_on_page_no_structured_value,0,"Pb;Cd;tAs;tHg",,"Pb;Cd;tAs;tHg",true,direct_context_pending_extraction,"Extract product-row values if the source table is usable; otherwise document why it remains context only.",Source declares or links this exact locked/context product row.
