hmi_page,routed_gems_food_row,arsenic_species,who_region,n,p50_ug_kg,p95_ug_kg,max_ug_kg,route_note
ingredients/fruit-juice,Fruit juice and herbal tea for infants and young children,iAs,WPRO,10,1.5,9.3,12,Infant/young-child adjacent row; small N.
ingredients/water,Tap water,tAs,EURO,14098,0,6,470,Large tap-water monitoring row.
ingredients/water,Drinking water NES,tAs,EURO,8010,0,7.21,346,General drinking-water row.
ingredients/water,Bottled water,tAs,EURO,6847,0,4,2590,Bottled-water row; review outliers before claims.
ingredients/water,Drinking water NES,tAs,EURO,5028,1,17,8800,General drinking-water row.
ingredients/water,Bottled water,iAs,PAHO,444,0.14,1.35,5,Speciated bottled-water row.
ingredients/vegetables,Vegetables and vegetable products NES,iAs,EURO,401,12,470,43000,Broad vegetable row; needs subclass routing.
ingredients/vegetables,Vegetables and vegetable products NES,iAs,WPRO,280,0,390.6,71700,Broad vegetable row; needs subclass routing.
ingredients/vegetables,Potato,tAs,EURO,1016,0,6.44,287,Routes to [[ingredients/potatoes]]/root vegetables.
ingredients/vegetables,Carrot,tAs,EURO,641,0,21,90,Routes to [[ingredients/carrots]]/root vegetables.
ingredients/vegetables,Leafy vegetables,tAs,EURO,623,0,61.8,79000,Routes to [[ingredients/leafy-greens]]; review outliers.
ingredients/vegetables,Mushrooms,tAs,EURO,821,0,419,19200,Routes to [[ingredients/wild-mushrooms]]/mushrooms.
ingredients/root-vegetables,Potato,tAs,EURO,1016,0,6.44,287,Root-vegetable context.
ingredients/root-vegetables,Potato,tAs,EURO,794,0,8.675,270,Root-vegetable context.
ingredients/root-vegetables,Carrot,tAs,EURO,641,0,21,90,Root-vegetable context.
ingredients/root-vegetables,Carrot,tAs,European Union,586,0,21,90,EU-overlap row retained as monitoring context.
ingredients/leafy-greens,Leafy vegetables,tAs,EURO,623,0,61.8,79000,Review high-end values before ingredient-specific claims.
ingredients/leafy-greens,Leafy vegetables,tAs,EURO,542,0,64.8,844,Broad leafy-vegetable context.
ingredients/leafy-greens,Leafy vegetables,tAs,European Union,532,0,57.8,844,EU-overlap row retained as context.
ingredients/leafy-greens,Spinach (bunch),organic As,EURO,1,0.63,0.63,0.63,Too small for spinach inference.
ingredients/wild-mushrooms,Mushrooms,tAs,EURO,821,0,419,19200,Mushroom context.
ingredients/wild-mushrooms,"Fungi, edible (not including mushrooms)",tAs,EURO,707,9,327.6,108700,Wild/other fungi candidate.
ingredients/wild-mushrooms,Mushrooms,tAs,EURO,489,15.8,1316,12700,Mushroom context.
ingredients/wild-mushrooms,"Fungi, edible (not including mushrooms)",iAs,EURO,95,0,184.8,820,Speciated fungi context.
ingredients/wild-mushrooms,Mushrooms,iAs,EURO,71,23.55,616.1,3300,Speciated mushroom context.
