action_order,action_priority,action_type,product_slug,product_label,product_standard_scope,product_review_state,aggregate_hmtc_p90_status,metal_species,loaded_source_count,loaded_n,loaded_row_count,local_candidate_value_count,context_disposition_count,tds_product_route_candidate_count,pending_local_extract_source_count,candidate_pdf_match_count,missing_pdf_count,action_sources,candidate_sources,local_extract_sources,context_disposition_sources,candidate_pdf_match_sources,missing_source_routes,tds_product_route_foods,evidence_needed,next_step,suggested_command,guardrails,notes
29,P2,find-sample-level-or-percentile-evidence,baby-cereals-dry-rice-based,"Baby cereals / grain products, dry (rice-based)",locked_hmtc_row,published,BLOCKED: summary evidence only,"iAs; Ni",3,272,6,0,1,0,0,0,0,,,,signes-pastor2018-infants-dietary-arsenic-solid-food,,,,"Loaded rows support N/mean/median/max context, but aggregate p90 needs sample-level values or explicitly reported percentiles from fit sources.","Find sample-level data or explicitly reported percentiles; retain mean/median/max rows as context until then.",npm run evidence:show-results -- --product baby-cereals-dry-rice-based,"Do not infer p50, p90, or p95 from means, ranges, IQRs, or max values unless a deterministic method is documented.",Do not invent p50/p90/p95 from ranges or means.
30,P2,find-sample-level-or-percentile-evidence,fish-containing-baby-foods,Fish-containing baby foods,locked_hmtc_row,published,BLOCKED: summary evidence only,"Pb; Cd; tAs; tHg; Al; Ni; Sn",10,21,10,0,2,0,0,0,0,,,,"collado-lopez2025-heavy-metals-baby-food-formula; tatsuta2024-methylmercury-intake-children-duplicate-diet",,,,"Loaded rows support N/mean/median/max context, but aggregate p90 needs sample-level values or explicitly reported percentiles from fit sources.","Find sample-level data or explicitly reported percentiles; retain mean/median/max rows as context until then.",npm run evidence:show-results -- --product fish-containing-baby-foods,"Do not infer p50, p90, or p95 from means, ranges, IQRs, or max values unless a deterministic method is documented.",Do not invent p50/p90/p95 from ranges or means.
31,P2,find-sample-level-or-percentile-evidence,fruit-juice-not-canned,Fruit juice (not canned),locked_hmtc_row,published,BLOCKED: summary evidence only,"Al; Sn; Co; Cr-total; Sb; V",7,104,7,0,0,0,0,0,0,,,,,,,,"Loaded rows support N/mean/median/max context, but aggregate p90 needs sample-level values or explicitly reported percentiles from fit sources.","Find sample-level data or explicitly reported percentiles; retain mean/median/max rows as context until then.",npm run evidence:show-results -- --product fruit-juice-not-canned,"Do not infer p50, p90, or p95 from means, ranges, IQRs, or max values unless a deterministic method is documented.",Do not invent p50/p90/p95 from ranges or means.
32,P2,find-sample-level-or-percentile-evidence,fruit-purees,Fruit purees (general),locked_hmtc_row,published,BLOCKED: summary evidence only,"iAs; Al; Ni; Sn; Co; Cr-total; Cu; Fe; I; Mn; Sb; Se; V; Zn",22,219,22,0,1,0,0,0,0,,,,signes-pastor2018-infants-dietary-arsenic-solid-food,,,,"Loaded rows support N/mean/median/max context, but aggregate p90 needs sample-level values or explicitly reported percentiles from fit sources.","Find sample-level data or explicitly reported percentiles; retain mean/median/max rows as context until then.",npm run evidence:show-results -- --product fruit-purees,"Do not infer p50, p90, or p95 from means, ranges, IQRs, or max values unless a deterministic method is documented.",Do not invent p50/p90/p95 from ranges or means.
33,P2,find-sample-level-or-percentile-evidence,infant-formula-powder-non-soy,"Infant formula, powder (non-soy)",locked_hmtc_row,published,BLOCKED: summary evidence only,"iAs; Al; Ni; Sn; Ca; Cr-total; Cu; Fe; I; Mn; Se; U; Zn",25,95,114,0,0,0,0,0,0,,,,,,,,"Loaded rows support N/mean/median/max context, but aggregate p90 needs sample-level values or explicitly reported percentiles from fit sources.","Find sample-level data or explicitly reported percentiles; retain mean/median/max rows as context until then.",npm run evidence:show-results -- --product infant-formula-powder-non-soy,"Do not infer p50, p90, or p95 from means, ranges, IQRs, or max values unless a deterministic method is documented.",Do not invent p50/p90/p95 from ranges or means.
34,P2,find-sample-level-or-percentile-evidence,infant-formula-powder-soy-based,"Infant formula, powder (soy-based)",locked_hmtc_row,published,BLOCKED: summary evidence only,"iAs; Al; Ni; Ca; Cu; Fe; I; Mn; Se; Zn",20,22,27,0,0,0,0,0,0,,,,,,,,"Loaded rows support N/mean/median/max context, but aggregate p90 needs sample-level values or explicitly reported percentiles from fit sources.","Find sample-level data or explicitly reported percentiles; retain mean/median/max rows as context until then.",npm run evidence:show-results -- --product infant-formula-powder-soy-based,"Do not infer p50, p90, or p95 from means, ranges, IQRs, or max values unless a deterministic method is documented.",Do not invent p50/p90/p95 from ranges or means.
35,P2,find-sample-level-or-percentile-evidence,infant-formula-rtf-liquid-non-soy,"Infant formula, RTF liquid (non-soy)",locked_hmtc_row,published,BLOCKED: summary evidence only,"Al; Cu; Fe; I; Mn; Se; Zn",10,85,24,0,0,0,0,0,0,,,,,,,,"Loaded rows support N/mean/median/max context, but aggregate p90 needs sample-level values or explicitly reported percentiles from fit sources.","Find sample-level data or explicitly reported percentiles; retain mean/median/max rows as context until then.",npm run evidence:show-results -- --product infant-formula-rtf-liquid-non-soy,"Do not infer p50, p90, or p95 from means, ranges, IQRs, or max values unless a deterministic method is documented.",Do not invent p50/p90/p95 from ranges or means.
36,P2,find-sample-level-or-percentile-evidence,infant-formula-rtf-liquid-soy-based,"Infant formula, RTF liquid (soy-based)",locked_hmtc_row,published,BLOCKED: summary evidence only,Al,1,14,1,0,0,0,0,0,0,,,,,,,,"Loaded rows support N/mean/median/max context, but aggregate p90 needs sample-level values or explicitly reported percentiles from fit sources.","Find sample-level data or explicitly reported percentiles; retain mean/median/max rows as context until then.",npm run evidence:show-results -- --product infant-formula-rtf-liquid-soy-based,"Do not infer p50, p90, or p95 from means, ranges, IQRs, or max values unless a deterministic method is documented.",Do not invent p50/p90/p95 from ranges or means.
37,P2,find-sample-level-or-percentile-evidence,meat-and-poultry-purees,Meat and poultry purees,locked_hmtc_row,published,BLOCKED: summary evidence only,"Pb; Cd; tAs; tHg; Al; Ni; Sn",7,28,7,0,4,0,0,0,0,,,,collado-lopez2025-heavy-metals-baby-food-formula,,,,"Loaded rows support N/mean/median/max context, but aggregate p90 needs sample-level values or explicitly reported percentiles from fit sources.","Find sample-level data or explicitly reported percentiles; retain mean/median/max rows as context until then.",npm run evidence:show-results -- --product meat-and-poultry-purees,"Do not infer p50, p90, or p95 from means, ranges, IQRs, or max values unless a deterministic method is documented.",Do not invent p50/p90/p95 from ranges or means.
38,P2,find-sample-level-or-percentile-evidence,plant-milks-non-soy-non-rice,"Plant milks (almond, oat, coconut, other non-soy/non-rice)",locked_hmtc_row,,BLOCKED: summary evidence only,"Pb; tHg; U",3,0,3,0,3,0,0,0,0,,,,marques2021-trace-elements-milks-plant-based-drinks,,,,"Loaded rows support N/mean/median/max context, but aggregate p90 needs sample-level values or explicitly reported percentiles from fit sources.","Find sample-level data or explicitly reported percentiles; retain mean/median/max rows as context until then.",npm run evidence:show-results -- --product plant-milks-non-soy-non-rice,"Do not infer p50, p90, or p95 from means, ranges, IQRs, or max values unless a deterministic method is documented.",Do not invent p50/p90/p95 from ranges or means.
39,P2,find-sample-level-or-percentile-evidence,plant-milks-rice-based,"Plant milks, rice-based",locked_hmtc_row,,BLOCKED: summary evidence only,"iAs; tAs",2,50,2,0,0,0,0,0,0,,,,,,,,"Loaded rows support N/mean/median/max context, but aggregate p90 needs sample-level values or explicitly reported percentiles from fit sources.","Find sample-level data or explicitly reported percentiles; retain mean/median/max rows as context until then.",npm run evidence:show-results -- --product plant-milks-rice-based,"Do not infer p50, p90, or p95 from means, ranges, IQRs, or max values unless a deterministic method is documented.",Do not invent p50/p90/p95 from ranges or means.
40,P2,find-sample-level-or-percentile-evidence,plant-milks-soy-based,"Plant milks, soy-based",locked_hmtc_row,,BLOCKED: summary evidence only,"Pb; Cd; tAs; Al; Ni; Sn; Cr-total; Sb",8,144,8,0,2,0,0,0,0,,,,marques2021-trace-elements-milks-plant-based-drinks,,,,"Loaded rows support N/mean/median/max context, but aggregate p90 needs sample-level values or explicitly reported percentiles from fit sources.","Find sample-level data or explicitly reported percentiles; retain mean/median/max rows as context until then.",npm run evidence:show-results -- --product plant-milks-soy-based,"Do not infer p50, p90, or p95 from means, ranges, IQRs, or max values unless a deterministic method is documented.",Do not invent p50/p90/p95 from ranges or means.
41,P2,find-sample-level-or-percentile-evidence,teething-and-snacks-rice-based,Teething & snacks (rice-based),locked_hmtc_row,published,BLOCKED: summary evidence only,iAs,1,296,2,0,1,0,0,0,0,,,,signes-pastor2018-infants-dietary-arsenic-solid-food,,,,"Loaded rows support N/mean/median/max context, but aggregate p90 needs sample-level values or explicitly reported percentiles from fit sources.","Find sample-level data or explicitly reported percentiles; retain mean/median/max rows as context until then.",npm run evidence:show-results -- --product teething-and-snacks-rice-based,"Do not infer p50, p90, or p95 from means, ranges, IQRs, or max values unless a deterministic method is documented.",Do not invent p50/p90/p95 from ranges or means.
42,P2,find-second-distribution-capable-source,baby-cereals-dry-non-rice,"Baby cereals / grain products, dry (non-rice)",locked_hmtc_row,published,DO NOT PUBLISH P90: single distribution-capable source,"Pb; Cd; tAs; tHg",10,84,10,0,2,0,0,0,0,,,,"collado-lopez2025-heavy-metals-baby-food-formula; signes-pastor2018-infants-dietary-arsenic-solid-food",,,,"Aggregate HMTc p90 needs multiple fit sources, not one source-reported or reconstructed distribution.",Find or route at least one additional fit distribution-capable source before aggregate HMTc p90 publication.,npm run evidence:show-results -- --product baby-cereals-dry-non-rice,"A single distribution-capable source can remain loaded evidence, but it is not the aggregate HMTc p90.","A single source can remain loaded evidence, but it is not the HMTc aggregate."
43,P2,find-second-distribution-capable-source,baby-cereals-dry-rice-based,"Baby cereals / grain products, dry (rice-based)",locked_hmtc_row,published,DO NOT PUBLISH P90: single distribution-capable source,"Pb; Cd; tAs; tHg",10,825,10,0,2,0,0,0,0,,,,"collado-lopez2025-heavy-metals-baby-food-formula; signes-pastor2018-infants-dietary-arsenic-solid-food",,,,"Aggregate HMTc p90 needs multiple fit sources, not one source-reported or reconstructed distribution.",Find or route at least one additional fit distribution-capable source before aggregate HMTc p90 publication.,npm run evidence:show-results -- --product baby-cereals-dry-rice-based,"A single distribution-capable source can remain loaded evidence, but it is not the aggregate HMTc p90.","A single source can remain loaded evidence, but it is not the HMTc aggregate."
44,P2,find-second-distribution-capable-source,fruit-juice-not-canned,Fruit juice (not canned),locked_hmtc_row,published,DO NOT PUBLISH P90: single distribution-capable source,"Pb; Cd; tAs; Ni",10,264,10,0,2,4,0,0,0,,,,"fda2004-juice-haccp-lead; fda2022-draft-lead-juice",,,"TDS 99: Juice, apple, bottled","Aggregate HMTc p90 needs multiple fit sources, not one source-reported or reconstructed distribution.",Find or route at least one additional fit distribution-capable source before aggregate HMTc p90 publication.,npm run evidence:show-results -- --product fruit-juice-not-canned,"A single distribution-capable source can remain loaded evidence, but it is not the aggregate HMTc p90.","A single source can remain loaded evidence, but it is not the HMTc aggregate."
45,P2,find-second-distribution-capable-source,fruit-juices-apple-containing,"Fruit juices, apple-containing",locked_hmtc_row,draft,DO NOT PUBLISH P90: single distribution-capable source,"Pb; tAs",2,6,2,0,0,2,0,0,0,,,,,,,"TDS 99: Juice, apple, bottled","Aggregate HMTc p90 needs multiple fit sources, not one source-reported or reconstructed distribution.",Find or route at least one additional fit distribution-capable source before aggregate HMTc p90 publication.,npm run evidence:show-results -- --product fruit-juices-apple-containing,"A single distribution-capable source can remain loaded evidence, but it is not the aggregate HMTc p90.","A single source can remain loaded evidence, but it is not the HMTc aggregate."
46,P2,find-second-distribution-capable-source,fruit-juices-non-apple,"Fruit juices, non-apple",locked_hmtc_row,draft,DO NOT PUBLISH P90: single distribution-capable source,"Pb; tAs",2,6,2,0,0,2,0,0,0,,,,,,,"TDS 100: Juice, grapefruit, bottled/cartoned","Aggregate HMTc p90 needs multiple fit sources, not one source-reported or reconstructed distribution.",Find or route at least one additional fit distribution-capable source before aggregate HMTc p90 publication.,npm run evidence:show-results -- --product fruit-juices-non-apple,"A single distribution-capable source can remain loaded evidence, but it is not the aggregate HMTc p90.","A single source can remain loaded evidence, but it is not the HMTc aggregate."
47,P2,find-second-distribution-capable-source,fruit-purees,Fruit purees (general),locked_hmtc_row,published,DO NOT PUBLISH P90: single distribution-capable source,"Pb; Cd; tAs; tHg",18,244,18,0,5,0,0,0,0,,,,"collado-lopez2025-heavy-metals-baby-food-formula; signes-pastor2018-infants-dietary-arsenic-solid-food",,,,"Aggregate HMTc p90 needs multiple fit sources, not one source-reported or reconstructed distribution.",Find or route at least one additional fit distribution-capable source before aggregate HMTc p90 publication.,npm run evidence:show-results -- --product fruit-purees,"A single distribution-capable source can remain loaded evidence, but it is not the aggregate HMTc p90.","A single source can remain loaded evidence, but it is not the HMTc aggregate."
48,P2,find-second-distribution-capable-source,infant-formula-powder-non-soy,"Infant formula, powder (non-soy)",locked_hmtc_row,published,DO NOT PUBLISH P90: single distribution-capable source,"Pb; Cd; tAs; tHg",20,1077,79,0,0,0,0,0,0,,,,,,,,"Aggregate HMTc p90 needs multiple fit sources, not one source-reported or reconstructed distribution.",Find or route at least one additional fit distribution-capable source before aggregate HMTc p90 publication.,npm run evidence:show-results -- --product infant-formula-powder-non-soy,"A single distribution-capable source can remain loaded evidence, but it is not the aggregate HMTc p90.","A single source can remain loaded evidence, but it is not the HMTc aggregate."
