adjudication_order,priority,machine_task,action_type,product_slug,product_label,product_standard_scope,product_review_state,metal_species,source_ids,aggregate_hmtc_p90_status,required_decisions,input_artifacts,guardrails,expected_outputs,confidence_gate,human_exception_trigger,blocks_public_claims,blocks_hmtc_threshold,next_command,notes
11,P2,find_or_route_fit_product_evidence,find-or-route-fit-source-evidence,matcha,Matcha,locked_hmtc_row,draft,"Pb; Cd; Al",,BLOCKED: no structured evidence loaded,"product row fit; basis; analyte species; unit; statistic type; N; censoring/non-detect handling; Evidence Fitness; routeability; public-use boundary","data/evidence/hmtc_standards_action_queue.csv; data/evidence/hmtc_standards_gap_report.csv","Do not infer p50, p90, or p95 unless source-reported or deterministically documented; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury; keep wet, dry, as-sold, prepared, and reconstituted bases separate; do not promote pending-tier evidence into public claims. Create or update the source page and routing record before public synthesis. Missing data must remain visible as a gap. Missing data must remain visible as a gap rather than disappearing from the queue.","new routeable source evidence, a product/metal gap, or an explicit reason existing sources are not fit evidence","Route only if product scope, species, basis, and statistic type are explicit enough for reproducible adjudication.","no accessible source; product definition conflict; governance decision needed for row inclusion",true,true,npm run evidence:show-results -- --product matcha,"Add or route fit-source product evidence before any HMTc p90 decision. Search local/raw evidence first, then source discovery, and route fit-source values to this product/metal row."
12,P2,find_or_route_fit_product_evidence,find-or-route-fit-source-evidence,plant-milks-non-soy-non-rice,"Plant milks (almond, oat, coconut, other non-soy/non-rice)",locked_hmtc_row,,"Cd; iAs; Al",,BLOCKED: no structured evidence loaded,"product row fit; basis; analyte species; unit; statistic type; N; censoring/non-detect handling; Evidence Fitness; routeability; public-use boundary","data/evidence/hmtc_standards_action_queue.csv; data/evidence/hmtc_standards_gap_report.csv","Do not infer p50, p90, or p95 unless source-reported or deterministically documented; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury; keep wet, dry, as-sold, prepared, and reconstituted bases separate; do not promote pending-tier evidence into public claims. Create or update the source page and routing record before public synthesis. Missing data must remain visible as a gap. Missing data must remain visible as a gap rather than disappearing from the queue.","new routeable source evidence, a product/metal gap, or an explicit reason existing sources are not fit evidence","Route only if product scope, species, basis, and statistic type are explicit enough for reproducible adjudication.","no accessible source; product definition conflict; governance decision needed for row inclusion",true,true,npm run evidence:show-results -- --product plant-milks-non-soy-non-rice,"Add or route fit-source product evidence before any HMTc p90 decision. Search local/raw evidence first, then source discovery, and route fit-source values to this product/metal row."
13,P2,find_or_route_fit_product_evidence,find-or-route-fit-source-evidence,plant-milks-rice-based,"Plant milks, rice-based",locked_hmtc_row,,Cd,,BLOCKED: no structured evidence loaded,"product row fit; basis; analyte species; unit; statistic type; N; censoring/non-detect handling; Evidence Fitness; routeability; public-use boundary","data/evidence/hmtc_standards_action_queue.csv; data/evidence/hmtc_standards_gap_report.csv","Do not infer p50, p90, or p95 unless source-reported or deterministically documented; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury; keep wet, dry, as-sold, prepared, and reconstituted bases separate; do not promote pending-tier evidence into public claims. Create or update the source page and routing record before public synthesis. Missing data must remain visible as a gap. Missing data must remain visible as a gap rather than disappearing from the queue.","new routeable source evidence, a product/metal gap, or an explicit reason existing sources are not fit evidence","Route only if product scope, species, basis, and statistic type are explicit enough for reproducible adjudication.","no accessible source; product definition conflict; governance decision needed for row inclusion",true,true,npm run evidence:show-results -- --product plant-milks-rice-based,"Add or route fit-source product evidence before any HMTc p90 decision. Search local/raw evidence first, then source discovery, and route fit-source values to this product/metal row."
14,P2,find_or_route_fit_product_evidence,find-or-route-fit-source-evidence,soft-drinks-carbonated-beverages,Soft drinks/carbonated beverages,locked_hmtc_row,draft,"Pb; Cd",,BLOCKED: no structured evidence loaded,"product row fit; basis; analyte species; unit; statistic type; N; censoring/non-detect handling; Evidence Fitness; routeability; public-use boundary","data/evidence/hmtc_standards_action_queue.csv; data/evidence/hmtc_standards_gap_report.csv","Do not infer p50, p90, or p95 unless source-reported or deterministically documented; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury; keep wet, dry, as-sold, prepared, and reconstituted bases separate; do not promote pending-tier evidence into public claims. Create or update the source page and routing record before public synthesis. Missing data must remain visible as a gap. Missing data must remain visible as a gap rather than disappearing from the queue.","new routeable source evidence, a product/metal gap, or an explicit reason existing sources are not fit evidence","Route only if product scope, species, basis, and statistic type are explicit enough for reproducible adjudication.","no accessible source; product definition conflict; governance decision needed for row inclusion",true,true,npm run evidence:show-results -- --product soft-drinks-carbonated-beverages,"Add or route fit-source product evidence before any HMTc p90 decision. Search local/raw evidence first, then source discovery, and route fit-source values to this product/metal row."
15,P2,find_or_route_fit_product_evidence,find-or-route-fit-source-evidence,sports-energy-drinks,Sports/energy drinks,locked_hmtc_row,draft,"Pb; Cd; tAs",,BLOCKED: no structured evidence loaded,"product row fit; basis; analyte species; unit; statistic type; N; censoring/non-detect handling; Evidence Fitness; routeability; public-use boundary","data/evidence/hmtc_standards_action_queue.csv; data/evidence/hmtc_standards_gap_report.csv","Do not infer p50, p90, or p95 unless source-reported or deterministically documented; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury; keep wet, dry, as-sold, prepared, and reconstituted bases separate; do not promote pending-tier evidence into public claims. Create or update the source page and routing record before public synthesis. Missing data must remain visible as a gap. Missing data must remain visible as a gap rather than disappearing from the queue.","new routeable source evidence, a product/metal gap, or an explicit reason existing sources are not fit evidence","Route only if product scope, species, basis, and statistic type are explicit enough for reproducible adjudication.","no accessible source; product definition conflict; governance decision needed for row inclusion",true,true,npm run evidence:show-results -- --product sports-energy-drinks,"Add or route fit-source product evidence before any HMTc p90 decision. Search local/raw evidence first, then source discovery, and route fit-source values to this product/metal row."
16,P2,find_or_route_fit_product_evidence,find-or-route-fit-source-evidence,teething-and-snacks-non-rice,Teething & snacks (non-rice),locked_hmtc_row,published,iAs,,BLOCKED: no structured evidence loaded,"product row fit; basis; analyte species; unit; statistic type; N; censoring/non-detect handling; Evidence Fitness; routeability; public-use boundary","data/evidence/hmtc_standards_action_queue.csv; data/evidence/hmtc_standards_gap_report.csv","Do not infer p50, p90, or p95 unless source-reported or deterministically documented; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury; keep wet, dry, as-sold, prepared, and reconstituted bases separate; do not promote pending-tier evidence into public claims. Create or update the source page and routing record before public synthesis. Missing data must remain visible as a gap. Missing data must remain visible as a gap rather than disappearing from the queue.","new routeable source evidence, a product/metal gap, or an explicit reason existing sources are not fit evidence","Route only if product scope, species, basis, and statistic type are explicit enough for reproducible adjudication.","no accessible source; product definition conflict; governance decision needed for row inclusion",true,true,npm run evidence:show-results -- --product teething-and-snacks-non-rice,"Add or route fit-source product evidence before any HMTc p90 decision. Search local/raw evidence first, then source discovery, and route fit-source values to this product/metal row."
17,P2,find_or_route_fit_product_evidence,find-or-route-fit-source-evidence,true-tea-camellia-sinensis,True tea (Camellia sinensis),locked_hmtc_row,draft,"Pb; Cd; Al",,BLOCKED: no structured evidence loaded,"product row fit; basis; analyte species; unit; statistic type; N; censoring/non-detect handling; Evidence Fitness; routeability; public-use boundary","data/evidence/hmtc_standards_action_queue.csv; data/evidence/hmtc_standards_gap_report.csv","Do not infer p50, p90, or p95 unless source-reported or deterministically documented; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury; keep wet, dry, as-sold, prepared, and reconstituted bases separate; do not promote pending-tier evidence into public claims. Create or update the source page and routing record before public synthesis. Missing data must remain visible as a gap. Missing data must remain visible as a gap rather than disappearing from the queue.","new routeable source evidence, a product/metal gap, or an explicit reason existing sources are not fit evidence","Route only if product scope, species, basis, and statistic type are explicit enough for reproducible adjudication.","no accessible source; product definition conflict; governance decision needed for row inclusion",true,true,npm run evidence:show-results -- --product true-tea-camellia-sinensis,"Add or route fit-source product evidence before any HMTc p90 decision. Search local/raw evidence first, then source discovery, and route fit-source values to this product/metal row."
18,P2,find_or_route_fit_product_evidence,find-or-route-fit-source-evidence,vegetable-juices-non-root,"Vegetable juices, non-root",locked_hmtc_row,draft,"Pb; Cd",,BLOCKED: no structured evidence loaded,"product row fit; basis; analyte species; unit; statistic type; N; censoring/non-detect handling; Evidence Fitness; routeability; public-use boundary","data/evidence/hmtc_standards_action_queue.csv; data/evidence/hmtc_standards_gap_report.csv","Do not infer p50, p90, or p95 unless source-reported or deterministically documented; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury; keep wet, dry, as-sold, prepared, and reconstituted bases separate; do not promote pending-tier evidence into public claims. Create or update the source page and routing record before public synthesis. Missing data must remain visible as a gap. Missing data must remain visible as a gap rather than disappearing from the queue.","new routeable source evidence, a product/metal gap, or an explicit reason existing sources are not fit evidence","Route only if product scope, species, basis, and statistic type are explicit enough for reproducible adjudication.","no accessible source; product definition conflict; governance decision needed for row inclusion",true,true,npm run evidence:show-results -- --product vegetable-juices-non-root,"Add or route fit-source product evidence before any HMTc p90 decision. Search local/raw evidence first, then source discovery, and route fit-source values to this product/metal row."
19,P2,find_or_route_fit_product_evidence,find-or-route-fit-source-evidence,vegetable-juices-root-vegetable-containing,"Vegetable juices, root-vegetable-containing",locked_hmtc_row,draft,"Pb; Cd",,BLOCKED: no structured evidence loaded,"product row fit; basis; analyte species; unit; statistic type; N; censoring/non-detect handling; Evidence Fitness; routeability; public-use boundary","data/evidence/hmtc_standards_action_queue.csv; data/evidence/hmtc_standards_gap_report.csv","Do not infer p50, p90, or p95 unless source-reported or deterministically documented; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury; keep wet, dry, as-sold, prepared, and reconstituted bases separate; do not promote pending-tier evidence into public claims. Create or update the source page and routing record before public synthesis. Missing data must remain visible as a gap. Missing data must remain visible as a gap rather than disappearing from the queue.","new routeable source evidence, a product/metal gap, or an explicit reason existing sources are not fit evidence","Route only if product scope, species, basis, and statistic type are explicit enough for reproducible adjudication.","no accessible source; product definition conflict; governance decision needed for row inclusion",true,true,npm run evidence:show-results -- --product vegetable-juices-root-vegetable-containing,"Add or route fit-source product evidence before any HMTc p90 decision. Search local/raw evidence first, then source discovery, and route fit-source values to this product/metal row."
20,P2,find_replacement_fit_source_after_context_disposition,find-fit-source-after-context-only-review,plant-milks-non-soy-non-rice,"Plant milks (almond, oat, coconut, other non-soy/non-rice)",locked_hmtc_row,,Ni,marques2021-trace-elements-milks-plant-based-drinks,BLOCKED: documented local sources are context-only,"why existing context source is not fit evidence; exact evidence needed; replacement source routeability; public-use boundary","data/evidence/hmtc_standards_action_queue.csv; data/evidence/hmtc_standards_gap_report.csv; wiki/sources/marques2021-trace-elements-milks-plant-based-drinks.md; data/evidence/local_reingest_context_dispositions.csv","Do not infer p50, p90, or p95 unless source-reported or deterministically documented; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury; keep wet, dry, as-sold, prepared, and reconstituted bases separate; do not promote pending-tier evidence into public claims. Do not reuse documented context-only rows as standards evidence unless a new table review changes the disposition. Context-only rows cannot be recycled into standards evidence without a new adjudication trace.",replacement fit-source evidence or a documented closed gap retaining context-only source trace,Do not reopen context-only evidence unless a new table-level reading changes the row-fit decision with >=0.90 confidence.,"context source appears policy-critical; conflicting route decisions across product pages",true,true,npm run evidence:show-results -- --product plant-milks-non-soy-non-rice,"Find or route fit-source product evidence; local source routes for this row were read and documented as context-only or not routeable. Use the context disposition as a closed route, then find a better fit-source product occurrence dataset or paper. See data/evidence/local_reingest_context_dispositions.csv."
21,P2,find_replacement_fit_source_after_context_disposition,find-fit-source-after-context-only-review,plant-milks-rice-based,"Plant milks, rice-based",locked_hmtc_row,,Pb,marques2021-trace-elements-milks-plant-based-drinks,BLOCKED: documented local sources are context-only,"why existing context source is not fit evidence; exact evidence needed; replacement source routeability; public-use boundary","data/evidence/hmtc_standards_action_queue.csv; data/evidence/hmtc_standards_gap_report.csv; wiki/sources/marques2021-trace-elements-milks-plant-based-drinks.md; data/evidence/local_reingest_context_dispositions.csv","Do not infer p50, p90, or p95 unless source-reported or deterministically documented; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury; keep wet, dry, as-sold, prepared, and reconstituted bases separate; do not promote pending-tier evidence into public claims. Do not reuse documented context-only rows as standards evidence unless a new table review changes the disposition. Context-only rows cannot be recycled into standards evidence without a new adjudication trace.",replacement fit-source evidence or a documented closed gap retaining context-only source trace,Do not reopen context-only evidence unless a new table-level reading changes the row-fit decision with >=0.90 confidence.,"context source appears policy-critical; conflicting route decisions across product pages",true,true,npm run evidence:show-results -- --product plant-milks-rice-based,"Find or route fit-source product evidence; local source routes for this row were read and documented as context-only or not routeable. Use the context disposition as a closed route, then find a better fit-source product occurrence dataset or paper. See data/evidence/local_reingest_context_dispositions.csv."
22,P2,find_replacement_fit_source_after_context_disposition,find-fit-source-after-context-only-review,teething-and-snacks-non-rice,Teething & snacks (non-rice),locked_hmtc_row,published,"Pb; Cd",collado-lopez2025-heavy-metals-baby-food-formula,BLOCKED: documented local sources are context-only,"why existing context source is not fit evidence; exact evidence needed; replacement source routeability; public-use boundary","data/evidence/hmtc_standards_action_queue.csv; data/evidence/hmtc_standards_gap_report.csv; wiki/sources/collado-lopez2025-heavy-metals-baby-food-formula.md; data/evidence/local_reingest_context_dispositions.csv","Do not infer p50, p90, or p95 unless source-reported or deterministically documented; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury; keep wet, dry, as-sold, prepared, and reconstituted bases separate; do not promote pending-tier evidence into public claims. Do not reuse documented context-only rows as standards evidence unless a new table review changes the disposition. Context-only rows cannot be recycled into standards evidence without a new adjudication trace.",replacement fit-source evidence or a documented closed gap retaining context-only source trace,Do not reopen context-only evidence unless a new table-level reading changes the row-fit decision with >=0.90 confidence.,"context source appears policy-critical; conflicting route decisions across product pages",true,true,npm run evidence:show-results -- --product teething-and-snacks-non-rice,"Find or route fit-source product evidence; local source routes for this row were read and documented as context-only or not routeable. Use the context disposition as a closed route, then find a better fit-source product occurrence dataset or paper. See data/evidence/local_reingest_context_dispositions.csv."
23,P2,find_second_fit_distribution_source,find-second-distribution-capable-source,baby-cereals-dry-non-rice,"Baby cereals / grain products, dry (non-rice)",locked_hmtc_row,published,"Pb; Cd; tAs; tHg",,DO NOT PUBLISH P90: single distribution-capable source,"source independence; product row fit; basis comparability; species match; distribution capability; aggregation readiness","data/evidence/hmtc_standards_action_queue.csv; data/evidence/hmtc_standards_gap_report.csv; data/evidence/local_reingest_context_dispositions.csv","Do not infer p50, p90, or p95 unless source-reported or deterministically documented; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury; keep wet, dry, as-sold, prepared, and reconstituted bases separate; do not promote pending-tier evidence into public claims. A single distribution-capable source can remain loaded evidence, but it is not the aggregate HMTc p90. A single distribution-capable source is loaded evidence, not the aggregate HMTc p90.",additional distribution-capable evidence or a single-source blocker retained in the standards gap report,Advance aggregate math only after at least two fit distribution-capable sources are available or governance explicitly approves an exception.,"single source is proposed as sufficient; source independence or comparability is contested",true,true,npm run evidence:show-results -- --product baby-cereals-dry-non-rice,"Aggregate HMTc p90 needs multiple fit sources, not one source-reported or reconstructed distribution. Find or route at least one additional fit distribution-capable source before aggregate HMTc p90 publication. A single source can remain loaded evidence, but it is not the HMTc aggregate."
