product_slug,product_label,metal_species,regulatory_limit_id,regulatory_value_ug_kg,regulatory_status,regulatory_scope,field_finding_summary,comparison_status,hmtc_use,sources
infant-formula-rtf-liquid-soy-based,"Infant formula, ready-to-feed liquid (soy-based)",Cd,eu2023_cd_formula_soy_liquid_10,10,maximum level,"infant formula liquid manufactured from soy protein isolates alone or mixed with cow's milk proteins",FDA 2026 ready-to-feed soy subset: N=3; Cd detected 0.8-1.1 ug/kg; ready-to-feed values are the relevant liquid basis.,Direct comparison available for product basis; source subset is small and no exceedance is indicated.,External EU legal ceiling and field-comparison context; not an HMTc value.,regulations/eu-2023-915-cadmium; sources/fda2026-infant-formula-toxic-elements-special-survey
infant-formula-rtf-liquid-soy-based,"Infant formula, ready-to-feed liquid (soy-based)",iAs,eu2023_ias_formula_liquid_10,10,maximum level,"infant formula liquid placed on the market",FDA 2026 reports total arsenic for this formula subset; no comparable inorganic arsenic field row is loaded.,EU maximum level loaded; comparison blocked because occurrence row reports total arsenic rather than inorganic arsenic.,External EU legal ceiling and speciation gap marker; not a direct comparison.,regulations/eu2023-contaminants-maximum-levels; sources/fda2026-infant-formula-toxic-elements-special-survey
infant-formula-concentrated-liquid-non-soy,"Infant formula, concentrated liquid (non-soy candidate)",Pb; Cd; tAs; tHg,none_loaded,,no matched regulatory value loaded,No product-specific value loaded in this crosswalk.,"tAs: N=8, detected 0.2-0.4 ug/kg, P90=0.4 ug/kg; Pb: N=8, detected 0.05-0.4 ug/kg, P90=0.4 ug/kg; Cd: N=8, detected 0.08-0.5 ug/kg, P90=0.43 ug/kg; tHg: N=8, not detected, P90=0 ug/kg",No matched FDA formula action level loaded; do not compare formula occurrence values to processed-baby-food action levels.,Occurrence evidence for HMTc review; not a regulatory exceedance table.,sources/fda2026-infant-formula-product-testing-results
infant-formula-concentrated-liquid-soy-based,"Infant formula, concentrated liquid (soy candidate)",Pb; Cd; tAs; tHg,none_loaded,,no matched regulatory value loaded,No product-specific value loaded in this crosswalk.,"tAs: N=3, detected 0.6-0.7 ug/kg, P90=0.68 ug/kg; Pb: N=3, detected 0.3-0.4 ug/kg, P90=0.38 ug/kg; Cd: N=3, detected 1.3-1.5 ug/kg, P90=1.46 ug/kg; tHg: N=3, detected 0.05-0.05 ug/kg, P90=0.04 ug/kg",No matched FDA formula action level loaded; do not compare formula occurrence values to processed-baby-food action levels.,Occurrence evidence for HMTc review; not a regulatory exceedance table.,sources/fda2026-infant-formula-product-testing-results
baby-cereals-dry-non-rice,"Baby cereals, dry (non-rice)",Pb,fda2025_pb_dry_infant_cereal_20,20,final guidance action level,dry infant cereals for children under 2,Promoted source coverage exists; structured row extraction pending.,Regulatory value loaded; field-finding comparison blocked until structured occurrence rows are extracted.,"Use as external regulatory cap/context, not HMTc value.",regulations/fda2025-lead-processed-baby-foods; sources/fera2014-fsa-metals-infant-foods-formula
baby-cereals-dry-non-rice,"Baby cereals, dry (non-rice)",Pb,eu2023_pb_babyfood_cereal_20,20,maximum level,"baby food and processed cereal-based food for infants and young children",Promoted source coverage exists; structured row extraction pending.,EU maximum level loaded; field-finding comparison blocked until structured occurrence rows are extracted and EU product scope is confirmed.,"Use as external EU legal context, not HMTc value.",regulations/eu2023-contaminants-maximum-levels; sources/fera2014-fsa-metals-infant-foods-formula
baby-cereals-dry-non-rice,"Baby cereals, dry (non-rice)",Cd,eu2023_cd_babyfood_cereal_40,40,maximum level,baby food and processed cereal-based food for infants and young children,Promoted source coverage exists; structured row extraction pending.,EU maximum level loaded; field-finding comparison blocked until structured occurrence rows are extracted and EU product scope is confirmed.,"Use as external EU legal context, not HMTc value.",regulations/eu-2023-915-cadmium; sources/fera2014-fsa-metals-infant-foods-formula
baby-cereals-dry-rice-based,"Baby cereals, dry (rice-based)",Pb,fda2025_pb_dry_infant_cereal_20,20,final guidance action level,dry infant cereals for children under 2,Promoted source coverage exists; structured row extraction pending.,Regulatory value loaded; field-finding comparison blocked until structured occurrence rows are extracted.,"Use as external regulatory cap/context, not HMTc value.",regulations/fda2025-lead-processed-baby-foods; sources/fera2014-fsa-metals-infant-foods-formula
baby-cereals-dry-rice-based,"Baby cereals, dry (rice-based)",Pb,eu2023_pb_babyfood_cereal_20,20,maximum level,"baby food and processed cereal-based food for infants and young children",Promoted source coverage exists; structured row extraction pending.,EU maximum level loaded; field-finding comparison blocked until structured occurrence rows are extracted and EU product scope is confirmed.,"Use as external EU legal context, not HMTc value.",regulations/eu2023-contaminants-maximum-levels; sources/fera2014-fsa-metals-infant-foods-formula
baby-cereals-dry-rice-based,"Baby cereals, dry (rice-based)",Cd,eu2023_cd_babyfood_cereal_40,40,maximum level,baby food and processed cereal-based food for infants and young children,Promoted source coverage exists; structured row extraction pending.,EU maximum level loaded; field-finding comparison blocked until structured occurrence rows are extracted and EU product scope is confirmed.,"Use as external EU legal context, not HMTc value.",regulations/eu-2023-915-cadmium; sources/fera2014-fsa-metals-infant-foods-formula
baby-cereals-dry-rice-based,"Baby cereals, dry (rice-based)",iAs,fda2020_ias_infant_rice_cereal_100,100,final guidance action level,all types of infant rice cereals,Promoted source coverage exists; structured row extraction pending.,Regulatory value loaded for infant rice cereals only; comparison blocked until rice-cereal occurrence rows are extracted by species.,"Use as external regulatory cap/context, not HMTc value.",regulations/fda2020-inorganic-arsenic-infant-rice-cereal; sources/fera2014-fsa-metals-infant-foods-formula
fruit-purees,Fruit purees,Pb,fda2025_pb_baby_food_10,10,final guidance action level,fruits; vegetables excluding single-ingredient root vegetables; mixtures including grain- and meat-based mixtures; yogurts; custards/puddings; single-ingredient meats for children under 2,FSA/Fera and other promoted sources support occurrence narrative; structured row extraction pending.,Regulatory value loaded; field-finding comparison blocked until puree rows are extracted.,"Use as external regulatory cap/context, not HMTc value.",regulations/fda2025-lead-processed-baby-foods; sources/fera2014-fsa-metals-infant-foods-formula
fruit-purees,Fruit purees,Pb,eu2023_pb_babyfood_cereal_20,20,maximum level,baby food for infants and young children,FSA/Fera and other promoted sources support occurrence narrative; structured row extraction pending.,EU maximum level loaded; field-finding comparison blocked until puree rows are extracted.,"Use as external EU legal context, not HMTc value.",regulations/eu2023-contaminants-maximum-levels; sources/fera2014-fsa-metals-infant-foods-formula
fruit-purees,Fruit purees,Cd,eu2023_cd_babyfood_cereal_40,40,maximum level,baby food for infants and young children,FSA/Fera and other promoted sources support occurrence narrative; structured row extraction pending.,EU maximum level loaded; field-finding comparison blocked until puree rows are extracted.,"Use as external EU legal context, not HMTc value.",regulations/eu-2023-915-cadmium; sources/fera2014-fsa-metals-infant-foods-formula
fruit-purees,Fruit purees,iAs,eu2023_ias_babyfood_20,20,maximum level,baby food for infants and young children,FSA/Fera and other promoted sources support occurrence narrative; structured iAs row extraction pending.,EU maximum level loaded; comparison blocked until inorganic-arsenic puree rows are extracted.,"Use as external EU legal context and speciation routing cue, not HMTc value.",regulations/eu2023-contaminants-maximum-levels; sources/fera2014-fsa-metals-infant-foods-formula
non-root-vegetable-purees,Non-root vegetable purees,Pb,fda2025_pb_baby_food_10,10,final guidance action level,fruits; vegetables excluding single-ingredient root vegetables; mixtures including grain- and meat-based mixtures; yogurts; custards/puddings; single-ingredient meats for children under 2,"FDA non-root vegetable baby-food samples: Pb p90 2 ppb, max 7.6 ppb. Parker 2022 leguminous-vegetable baby foods: Pb mean 2.3 ppb, median 1.5 ppb, max 5 ppb.","Loaded product-row values are below the FDA 10 ppb action level where comparable, but HMTc aggregate p90 still needs a second fit distribution-capable source.","Use as external regulatory cap/context, not HMTc value.",regulations/fda2025-lead-processed-baby-foods; sources/fda2024-toxic-elements-baby-food-compliance-2009-2024; sources/parker2022-baby-food-arsenic-cadmium-lead-mercury-risk
non-root-vegetable-purees,Non-root vegetable purees,Pb,eu2023_pb_babyfood_cereal_20,20,maximum level,baby food for infants and young children,"FDA non-root vegetable baby-food samples: Pb p90 2 ppb, max 7.6 ppb. Parker 2022 leguminous-vegetable baby foods: Pb mean 2.3 ppb, median 1.5 ppb, max 5 ppb.","Loaded product-row values are below the EU 20 ppb maximum where comparable, but HMTc aggregate p90 still needs a second fit distribution-capable source.","Use as external EU legal context, not HMTc value.",regulations/eu2023-contaminants-maximum-levels; sources/fda2024-toxic-elements-baby-food-compliance-2009-2024; sources/parker2022-baby-food-arsenic-cadmium-lead-mercury-risk
non-root-vegetable-purees,Non-root vegetable purees,Cd,eu2023_cd_babyfood_cereal_40,40,maximum level,baby food for infants and young children,"FDA non-root vegetable baby-food samples: Cd p50 0.7 ppb, p90 12.8 ppb, p95 21.1 ppb, max 23.1 ppb. Parker 2022 leguminous-vegetable baby foods: no detections; substituted summary value 1.5 ppb.","Loaded product-row values are below the EU 40 ppb maximum where comparable, but HMTc aggregate p90 still needs a second fit distribution-capable source.","Use as external EU legal context, not HMTc value.",regulations/eu-2023-915-cadmium; sources/fda2024-toxic-elements-baby-food-compliance-2009-2024; sources/parker2022-baby-food-arsenic-cadmium-lead-mercury-risk
root-vegetable-purees,Root vegetable purees,Pb,fda2025_pb_root_baby_food_20,20,final guidance action level,single-ingredient root vegetables for children under 2,"FDA root vegetable baby-food samples: Pb p50 5.1 ppb, p90 15.9 ppb, max 27.3 ppb. Parker 2022 root-vegetable baby foods: Pb mean 15.8 ppb, median 5 ppb, max 48 ppb.","Root-vegetable occurrence is close to or above the 20 ppb FDA action level at upper-end observations; HMTc aggregate p90 still needs a second fit distribution-capable source.","Use as external regulatory cap/context, not HMTc value.",regulations/fda2025-lead-processed-baby-foods; sources/fda2024-toxic-elements-baby-food-compliance-2009-2024; sources/parker2022-baby-food-arsenic-cadmium-lead-mercury-risk
root-vegetable-purees,Root vegetable purees,Pb,eu2023_pb_babyfood_cereal_20,20,maximum level,baby food for infants and young children,"FDA root vegetable baby-food samples: Pb p50 5.1 ppb, p90 15.9 ppb, max 27.3 ppb. Parker 2022 root-vegetable baby foods: Pb mean 15.8 ppb, median 5 ppb, max 48 ppb.","Some upper-end product-row values exceed the EU 20 ppb maximum where comparable; HMTc aggregate p90 still needs a second fit distribution-capable source.","Use as external EU legal context, not HMTc value.",regulations/eu2023-contaminants-maximum-levels; sources/fda2024-toxic-elements-baby-food-compliance-2009-2024; sources/parker2022-baby-food-arsenic-cadmium-lead-mercury-risk
root-vegetable-purees,Root vegetable purees,Cd,eu2023_cd_babyfood_cereal_40,40,maximum level,baby food for infants and young children,"FDA root vegetable baby-food samples: Cd p50 8.7 ppb, p90 31.5 ppb, p95 39.6 ppb, max 42 ppb. Parker 2022 root-vegetable baby foods: Cd mean 3.8 ppb, median 5 ppb, max 5 ppb.","FDA lower-bound p90 and p95 sit below the EU 40 ppb maximum, while the FDA max slightly exceeds it; HMTc aggregate p90 still needs a second fit distribution-capable source.","Use as external EU legal context, not HMTc value.",regulations/eu-2023-915-cadmium; sources/fda2024-toxic-elements-baby-food-compliance-2009-2024; sources/parker2022-baby-food-arsenic-cadmium-lead-mercury-risk
meat-and-poultry-purees,Meat and poultry purees,Pb,fda2025_pb_baby_food_10,10,final guidance action level,fruits; vegetables excluding single-ingredient root vegetables; mixtures including grain- and meat-based mixtures; yogurts; custards/puddings; single-ingredient meats for children under 2,Meli 2024 reports Pb <100 ug/kg wet weight in four homogenized meat products; the reporting limit is above the FDA 10 ug/kg and EU 20 ug/kg Pb reference values.,Regulatory value loaded; comparison blocked because the source Pb reporting limit is higher than the reference value.,"Use as external regulatory cap/context, not HMTc value.",regulations/fda2025-lead-processed-baby-foods; sources/meli2024-chemical-characterization-baby-food-italy
meat-and-poultry-purees,Meat and poultry purees,Pb,eu2023_pb_babyfood_cereal_20,20,maximum level,baby food for infants and young children,Meli 2024 reports Pb <100 ug/kg wet weight in four homogenized meat products; the reporting limit is above the FDA 10 ug/kg and EU 20 ug/kg Pb reference values.,EU maximum level loaded; comparison blocked because the source Pb reporting limit is higher than the reference value.,"Use as external EU legal context, not HMTc value.",regulations/eu2023-contaminants-maximum-levels; sources/meli2024-chemical-characterization-baby-food-italy
meat-and-poultry-purees,Meat and poultry purees,Cd,eu2023_cd_babyfood_cereal_40,40,maximum level,baby food for infants and young children,Meli 2024 reports Cd <5 ug/kg wet weight in four homogenized meat products; this is a censored small-N source summary.,EU maximum level loaded; censored upper bound is below 40 ug/kg but remains summary evidence only.,"Use as external EU legal context, not HMTc value.",regulations/eu-2023-915-cadmium; sources/meli2024-chemical-characterization-baby-food-italy
fish-containing-baby-foods,Fish-containing baby foods,Pb,fda2025_pb_baby_food_10,10,final guidance action level,fruits; vegetables excluding single-ingredient root vegetables; mixtures including grain- and meat-based mixtures; yogurts; custards/puddings; single-ingredient meats for children under 2,Meli 2024 reports Pb <100 ug/kg wet weight in three homogenized fish products; the reporting limit is above the FDA 10 ug/kg and EU 20 ug/kg Pb reference values.,Regulatory applicability and comparison both need review; FDA row language does not isolate fish-containing baby foods and the Pb reporting limit is higher than the reference value.,Use as external context only until product-scope and reporting-limit review.,regulations/fda2025-lead-processed-baby-foods; sources/meli2024-chemical-characterization-baby-food-italy
fish-containing-baby-foods,Fish-containing baby foods,Pb,eu2023_pb_babyfood_cereal_20,20,maximum level,baby food for infants and young children,Meli 2024 reports Pb <100 ug/kg wet weight in three homogenized fish products; the reporting limit is above the FDA 10 ug/kg and EU 20 ug/kg Pb reference values.,EU baby-food maximum level loaded; comparison blocked because the source Pb reporting limit is higher than the reference value.,"Use as external EU legal context; separate fish-ingredient mercury context belongs on the fish ingredient page.",regulations/eu2023-contaminants-maximum-levels; sources/meli2024-chemical-characterization-baby-food-italy
fish-containing-baby-foods,Fish-containing baby foods,Cd,eu2023_cd_babyfood_cereal_40,40,maximum level,baby food for infants and young children,Meli 2024 reports Cd <5 ug/kg wet weight in three homogenized fish products; this is a censored small-N source summary.,EU baby-food maximum level loaded; censored upper bound is below 40 ug/kg but remains summary evidence only.,"Use as external EU legal context; separate fish-ingredient Cd context belongs on the fish ingredient page.",regulations/eu-2023-915-cadmium; sources/meli2024-chemical-characterization-baby-food-italy
mixed-meals-non-rice,Mixed meals (non-rice),Pb,fda2025_pb_baby_food_10,10,final guidance action level,fruits; vegetables excluding single-ingredient root vegetables; mixtures including grain- and meat-based mixtures; yogurts; custards/puddings; single-ingredient meats for children under 2,FSA/Fera occurrence evidence is promoted; structured row extraction pending.,Regulatory value loaded for mixtures; field-finding comparison blocked until mixed-meal rows are extracted.,"Use as external regulatory cap/context, not HMTc value.",regulations/fda2025-lead-processed-baby-foods; sources/fera2014-fsa-metals-infant-foods-formula
mixed-meals-non-rice,Mixed meals (non-rice),Pb,eu2023_pb_babyfood_cereal_20,20,maximum level,baby food for infants and young children,FSA/Fera occurrence evidence is promoted; structured row extraction pending.,EU maximum level loaded; field-finding comparison blocked until mixed-meal rows are extracted.,"Use as external EU legal context, not HMTc value.",regulations/eu2023-contaminants-maximum-levels; sources/fera2014-fsa-metals-infant-foods-formula
mixed-meals-non-rice,Mixed meals (non-rice),Cd,eu2023_cd_babyfood_cereal_40,40,maximum level,baby food for infants and young children,FSA/Fera occurrence evidence is promoted; structured row extraction pending.,EU maximum level loaded; field-finding comparison blocked until mixed-meal rows are extracted.,"Use as external EU legal context, not HMTc value.",regulations/eu-2023-915-cadmium; sources/fera2014-fsa-metals-infant-foods-formula
mixed-meals-rice-containing,Mixed meals (rice-containing),Pb,fda2025_pb_baby_food_10,10,final guidance action level,fruits; vegetables excluding single-ingredient root vegetables; mixtures including grain- and meat-based mixtures; yogurts; custards/puddings; single-ingredient meats for children under 2,FSA/Fera occurrence evidence is promoted; structured row extraction pending.,Regulatory value loaded for mixtures; rice-containing status does not itself make this the dry-infant-cereal action level.,"Use as external regulatory cap/context, not HMTc value.",regulations/fda2025-lead-processed-baby-foods; sources/fera2014-fsa-metals-infant-foods-formula
mixed-meals-rice-containing,Mixed meals (rice-containing),Pb,eu2023_pb_babyfood_cereal_20,20,maximum level,baby food for infants and young children,FSA/Fera occurrence evidence is promoted; structured row extraction pending.,EU maximum level loaded; field-finding comparison blocked until mixed-meal rows are extracted.,"Use as external EU legal context, not HMTc value.",regulations/eu2023-contaminants-maximum-levels; sources/fera2014-fsa-metals-infant-foods-formula
mixed-meals-rice-containing,Mixed meals (rice-containing),Cd,eu2023_cd_babyfood_cereal_40,40,maximum level,baby food for infants and young children,FSA/Fera occurrence evidence is promoted; structured row extraction pending.,EU maximum level loaded; field-finding comparison blocked until mixed-meal rows are extracted.,"Use as external EU legal context, not HMTc value.",regulations/eu-2023-915-cadmium; sources/fera2014-fsa-metals-infant-foods-formula
fruit-juice-not-canned,"Fruit juice, not canned",iAs,fda2023_ias_apple_juice_10,10,final guidance action level,apple juice,"FSA/Fera Table 6 includes apple juice and juice composites; FDA TDS reports total arsenic, not iAs, for apple juice.",Applies only to apple juice; direct TDS comparison remains blocked without apple-juice iAs rows.,Use as external context and split trigger.,regulations/fda2023-inorganic-arsenic-apple-juice; sources/fera2014-fsa-metals-infant-foods-formula; sources/fda2022-tds-elements-fy2018-fy2020
fruit-juice-not-canned,"Fruit juice, not canned",iAs,eu2023_ias_fruit_juice_20,20,maximum level,"fruit juices, concentrated fruit juices as reconstituted, and fruit nectars","FSA/Fera Table 6 includes apple juice and juice composites; FDA TDS reports total arsenic, not iAs, for apple juice.",EU maximum level loaded; direct comparison remains blocked until juice rows are extracted with inorganic arsenic species.,"Use as external EU legal context, not HMTc value.",regulations/eu2023-contaminants-maximum-levels; sources/fera2014-fsa-metals-infant-foods-formula; sources/fda2022-tds-elements-fy2018-fy2020
fruit-juice-not-canned,"Fruit juice, not canned",Pb,fda2022_draft_pb_apple_juice_10,10,draft guidance; not for implementation,single-strength apple juice,"FDA TDS FY2018-FY2020 apple juice rows provide N=3 bottled apple-juice results: Pb median 1.5 ppb, P95 2.58 ppb, max 2.7 ppb; total arsenic max 4.4 ppb, with no apple-juice iAs speciation row.",Draft only and apple-specific; occurrence data are not a final regulatory comparison.,Use as draft context only.,regulations/fda2022-draft-lead-juice; sources/fera2014-fsa-metals-infant-foods-formula; sources/fda2022-tds-elements-fy2018-fy2020
fruit-juice-not-canned,"Fruit juice, not canned",Pb,fda2004_juice_haccp_pb_50,50,guidance hazard-control level,ready-to-drink fruit juices including fruit nectars,"FDA TDS apple juice N=3 had Pb median 1.5 ppb, P95 2.58 ppb, max 2.7 ppb; grapefruit juice N=3 had Pb reported as 0 ppb.","Current older juice guidance context; use as legal/regulatory context, not an HMTc value.","Use as legal/regulatory context, not HMTc value.",regulations/fda2004-juice-haccp-lead; sources/fera2014-fsa-metals-infant-foods-formula; sources/fda2022-tds-elements-fy2018-fy2020
fruit-juice-not-canned,"Fruit juice, not canned",Pb,eu2023_pb_fruit_juice_other_30,30,maximum level,"fruit juices and nectars other than exclusively from berries and other small fruits","FDA TDS apple juice N=3 had Pb median 1.5 ppb, P95 2.58 ppb, max 2.7 ppb; grapefruit juice route review remains product-specific to the non-apple row.","EU maximum level loaded; one small-N apple-juice TDS row is below 30 ug/kg, but this is occurrence context and not an HMTc category distribution.","Use as external EU legal context, not HMTc value.",regulations/eu2023-contaminants-maximum-levels; sources/fera2014-fsa-metals-infant-foods-formula; sources/fda2022-tds-elements-fy2018-fy2020
teething-and-snacks-non-rice,Teething foods and snacks (non-rice),Pb,none_loaded,,no matched regulatory value loaded,No product-specific value loaded in this crosswalk.,FSA/Fera occurrence evidence is promoted; structured row extraction pending.,No exact product-specific regulatory value loaded for non-rice teething/snack row.,Occurrence evidence only until regulatory scope is resolved.,sources/fera2014-fsa-metals-infant-foods-formula
teething-and-snacks-rice-based,Teething foods and snacks (rice-based),iAs,eu2023_ias_rice_products_300,300,maximum level,"rice waffles, rice wafers, rice crackers, rice cakes, rice flakes, and popped breakfast rice",FSA/Fera occurrence evidence is promoted; structured row extraction pending.,EU rice-product maximum level applies only to the named rice product forms; product split and iAs extraction are required before comparison.,"Use as external EU legal context; avoid silent infant-rice-cereal substitution.",regulations/eu2023-contaminants-maximum-levels; sources/fera2014-fsa-metals-infant-foods-formula
fruit-juices-non-apple,Fruit juices (non-apple),Pb,fda2022_draft_pb_other_juice_20,20,draft guidance; not for implementation,other single-strength juices and juice blends,FDA TDS FY2018-FY2020 grapefruit juice rows provide N=3 bottled/cartoned grapefruit-juice results: Pb was reported as 0 ppb in all three rows; no inorganic-arsenic row is present for grapefruit juice.,Draft only; one TDS grapefruit-juice food is occurrence evidence and not a full non-apple juice distribution.,Draft context only.,regulations/fda2022-draft-lead-juice; sources/fda2022-tds-elements-fy2018-fy2020
fruit-juices-non-apple,Fruit juices (non-apple),Pb,fda2004_juice_haccp_pb_50,50,guidance hazard-control level,ready-to-drink fruit juices including fruit nectars,FDA TDS FY2018-FY2020 grapefruit juice rows provide N=3 bottled/cartoned grapefruit-juice results: Pb was reported as 0 ppb in all three rows; no inorganic-arsenic row is present for grapefruit juice.,Current older juice guidance context; direct compliance interpretation remains scope-limited.,Regulatory context.,regulations/fda2004-juice-haccp-lead; sources/fda2022-tds-elements-fy2018-fy2020
fruit-juices-non-apple,Fruit juices (non-apple),Pb,eu2023_pb_fruit_juice_other_30,30,maximum level,"fruit juices and nectars other than exclusively from berries and other small fruits",FDA TDS FY2018-FY2020 grapefruit juice rows provide N=3 bottled/cartoned grapefruit-juice results: Pb was reported as 0 ppb in all three rows.,EU maximum level loaded; the TDS grapefruit row is below 30 ug/kg but is a single small-N food route rather than a full non-apple juice distribution.,"Use as external EU legal context, not HMTc value.",regulations/eu2023-contaminants-maximum-levels; sources/fda2022-tds-elements-fy2018-fy2020
fruit-juices-non-apple,Fruit juices (non-apple),iAs,eu2023_ias_fruit_juice_20,20,maximum level,"fruit juices, concentrated fruit juices as reconstituted, and fruit nectars","FDA TDS reports total arsenic for grapefruit juice, not iAs; no inorganic-arsenic row is present for grapefruit juice.",EU maximum level loaded; direct comparison remains blocked until beverage occurrence sources are promoted with inorganic arsenic species.,"Use as external EU legal context, not HMTc value.",regulations/eu2023-contaminants-maximum-levels; sources/fda2022-tds-elements-fy2018-fy2020
fruit-juices-apple-containing,Fruit juices (apple-containing),iAs,fda2023_ias_apple_juice_10,10,final guidance action level,apple juice,"FDA TDS reports total arsenic for apple juice, not iAs; FDA TDS FY2018-FY2020 apple juice rows provide N=3 bottled apple-juice results: Pb median 1.5 ppb, P95 2.58 ppb, max 2.7 ppb; total arsenic max 4.4 ppb, with no apple-juice iAs speciation row.",Final apple-juice action level; direct iAs comparison remains blocked until apple-juice iAs rows are loaded.,Regulatory context and split trigger.,regulations/fda2023-inorganic-arsenic-apple-juice; sources/fda2022-tds-elements-fy2018-fy2020
